danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.507,0.294,2,-10.0,1,0.04,0.896,1.97e-05,0.0966,0.386,114.199,audio_features,6uvh0In7u1Xn4HgxOfAn8O,spotify:track:6uvh0In7u1Xn4HgxOfAn8O,https://api.spotify.com/v1/tracks/6uvh0In7u1Xn4HgxOfAn8O,https://api.spotify.com/v1/audio-analysis/6uvh0In7u1Xn4HgxOfAn8O,245964,4
0.541,0.153,6,-10.654,1,0.0303,0.882,1.66e-06,0.16,0.359,139.644,audio_features,7F1CiKqrY44kh5cDqwHOnx,spotify:track:7F1CiKqrY44kh5cDqwHOnx,https://api.spotify.com/v1/tracks/7F1CiKqrY44kh5cDqwHOnx,https://api.spotify.com/v1/audio-analysis/7F1CiKqrY44kh5cDqwHOnx,176972,4
0.472,0.518,8,-7.379,1,0.051,0.383,0.127,0.289,0.154,147.805,audio_features,26hOm7dTtBi0TdpDGl141t,spotify:track:26hOm7dTtBi0TdpDGl141t,https://api.spotify.com/v1/tracks/26hOm7dTtBi0TdpDGl141t,https://api.spotify.com/v1/audio-analysis/26hOm7dTtBi0TdpDGl141t,211667,4
0.516,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.861,audio_features,5WtfUKzXircvW8l5aaVZWT,spotify:track:5WtfUKzXircvW8l5aaVZWT,https://api.spotify.com/v1/tracks/5WtfUKzXircvW8l5aaVZWT,https://api.spotify.com/v1/audio-analysis/5WtfUKzXircvW8l5aaVZWT,173307,4
0.697,0.336,9,-10.395,1,0.0424,0.598,0.00528,0.107,0.31,82.029,audio_features,2TktkzfozZifbQhXjT6I33,spotify:track:2TktkzfozZifbQhXjT6I33,https://api.spotify.com/v1/tracks/2TktkzfozZifbQhXjT6I33,https://api.spotify.com/v1/audio-analysis/2TktkzfozZifbQhXjT6I33,216680,3
0.511,0.313,10,-9.32,1,0.0846,0.905,0.0,0.0832,0.331,126.962,audio_features,3Nl5OkkmS5DaBZvuYofpAt,spotify:track:3Nl5OkkmS5DaBZvuYofpAt,https://api.spotify.com/v1/tracks/3Nl5OkkmS5DaBZvuYofpAt,https://api.spotify.com/v1/audio-analysis/3Nl5OkkmS5DaBZvuYofpAt,189386,4
0.564,0.612,0,-5.018,1,0.0248,0.382,0.0,0.11,0.146,83.03,audio_features,30LZU3ReFIndjHLfaahreM,spotify:track:30LZU3ReFIndjHLfaahreM,https://api.spotify.com/v1/tracks/30LZU3ReFIndjHLfaahreM,https://api.spotify.com/v1/audio-analysis/30LZU3ReFIndjHLfaahreM,237493,3
0.609,0.343,5,-7.93,1,0.0285,0.709,0.0,0.102,0.262,81.923,audio_features,3PsHulD1zewglcTPcEPnlk,spotify:track:3PsHulD1zewglcTPcEPnlk,https://api.spotify.com/v1/tracks/3PsHulD1zewglcTPcEPnlk,https://api.spotify.com/v1/audio-analysis/3PsHulD1zewglcTPcEPnlk,196261,4
0.4,0.641,8,-6.303,1,0.0674,0.214,0.0,0.0656,0.393,81.552,audio_features,5hnGrTBaEsdukpDF6aZg8a,spotify:track:5hnGrTBaEsdukpDF6aZg8a,https://api.spotify.com/v1/tracks/5hnGrTBaEsdukpDF6aZg8a,https://api.spotify.com/v1/audio-analysis/5hnGrTBaEsdukpDF6aZg8a,163603,4
0.48,0.199,6,-12.398,1,0.0329,0.931,0.0563,0.0978,0.201,165.476,audio_features,1XTY6rA7XQosc0ynkkE9kN,spotify:track:1XTY6rA7XQosc0ynkkE9kN,https://api.spotify.com/v1/tracks/1XTY6rA7XQosc0ynkkE9kN,https://api.spotify.com/v1/audio-analysis/1XTY6rA7XQosc0ynkkE9kN,221510,4
0.723,0.504,8,-5.572,1,0.0392,0.388,7.4e-05,0.087,0.551,133.975,audio_features,4IhKLu7Vk3j2TLmnFPl6To,spotify:track:4IhKLu7Vk3j2TLmnFPl6To,https://api.spotify.com/v1/tracks/4IhKLu7Vk3j2TLmnFPl6To,https://api.spotify.com/v1/audio-analysis/4IhKLu7Vk3j2TLmnFPl6To,218893,4
0.372,0.128,5,-12.997,1,0.0355,0.973,0.000315,0.0916,0.172,78.949,audio_features,4R3AU2pjv8ge2siX1fVbZs,spotify:track:4R3AU2pjv8ge2siX1fVbZs,https://api.spotify.com/v1/tracks/4R3AU2pjv8ge2siX1fVbZs,https://api.spotify.com/v1/audio-analysis/4R3AU2pjv8ge2siX1fVbZs,267867,4
0.364,0.512,11,-9.122,0,0.106,0.0337,0.0,0.107,0.134,118.392,audio_features,2RnBxdoRGOBzy2yvThWtMe,spotify:track:2RnBxdoRGOBzy2yvThWtMe,https://api.spotify.com/v1/tracks/2RnBxdoRGOBzy2yvThWtMe,https://api.spotify.com/v1/audio-analysis/2RnBxdoRGOBzy2yvThWtMe,181159,4
0.566,0.348,1,-10.726,1,0.0458,0.559,7.66e-06,0.113,0.374,98.734,audio_features,4HcARAxzsbIB3MqiEkejM6,spotify:track:4HcARAxzsbIB3MqiEkejM6,https://api.spotify.com/v1/tracks/4HcARAxzsbIB3MqiEkejM6,https://api.spotify.com/v1/audio-analysis/4HcARAxzsbIB3MqiEkejM6,164082,4
0.61,0.686,4,-5.821,1,0.265,0.764,6.99e-06,0.117,0.481,149.759,audio_features,0hFTdvxUbHl1CqrdZcbWtZ,spotify:track:0hFTdvxUbHl1CqrdZcbWtZ,https://api.spotify.com/v1/tracks/0hFTdvxUbHl1CqrdZcbWtZ,https://api.spotify.com/v1/audio-analysis/0hFTdvxUbHl1CqrdZcbWtZ,168978,3
0.386,0.426,3,-6.642,1,0.0363,0.807,0.0,0.14,0.261,180.104,audio_features,5ajjAnNRh8bxFvaVHzpPjh,spotify:track:5ajjAnNRh8bxFvaVHzpPjh,https://api.spotify.com/v1/tracks/5ajjAnNRh8bxFvaVHzpPjh,https://api.spotify.com/v1/audio-analysis/5ajjAnNRh8bxFvaVHzpPjh,203385,3
0.604,0.199,0,-11.831,1,0.05,0.777,0.0,0.109,0.191,76.134,audio_features,6RQ5IwG7uADz9LDWliJGjU,spotify:track:6RQ5IwG7uADz9LDWliJGjU,https://api.spotify.com/v1/tracks/6RQ5IwG7uADz9LDWliJGjU,https://api.spotify.com/v1/audio-analysis/6RQ5IwG7uADz9LDWliJGjU,158840,4
0.679,0.61,7,-10.936,0,0.0305,0.585,9.51e-05,0.156,0.554,123.978,audio_features,1nYzjrdVQ8RpF93M0jPFW7,spotify:track:1nYzjrdVQ8RpF93M0jPFW7,https://api.spotify.com/v1/tracks/1nYzjrdVQ8RpF93M0jPFW7,https://api.spotify.com/v1/audio-analysis/1nYzjrdVQ8RpF93M0jPFW7,227186,4
0.543,0.333,7,-9.355,0,0.0272,0.824,3.87e-06,0.168,0.261,109.789,audio_features,0aIW3ekrhK1eh3BYCh11op,spotify:track:0aIW3ekrhK1eh3BYCh11op,https://api.spotify.com/v1/tracks/0aIW3ekrhK1eh3BYCh11op,https://api.spotify.com/v1/audio-analysis/0aIW3ekrhK1eh3BYCh11op,198573,4
0.572,0.406,10,-8.624,1,0.0427,0.587,4.48e-06,0.102,0.265,119.812,audio_features,2nC3QhMI9reBIOWutbU3Tj,spotify:track:2nC3QhMI9reBIOWutbU3Tj,https://api.spotify.com/v1/tracks/2nC3QhMI9reBIOWutbU3Tj,https://api.spotify.com/v1/audio-analysis/2nC3QhMI9reBIOWutbU3Tj,201084,4
0.678,0.567,1,-8.927,0,0.101,0.0454,8.8e-06,0.41,0.154,156.975,audio_features,4M68xjcc42oxyphhzpOWXS,spotify:track:4M68xjcc42oxyphhzpOWXS,https://api.spotify.com/v1/tracks/4M68xjcc42oxyphhzpOWXS,https://api.spotify.com/v1/audio-analysis/4M68xjcc42oxyphhzpOWXS,146752,4
0.646,0.222,0,-7.849,1,0.0341,0.853,0.0,0.113,0.559,127.716,audio_features,3sXWFs0hku4tR5cy54PnRz,spotify:track:3sXWFs0hku4tR5cy54PnRz,https://api.spotify.com/v1/tracks/3sXWFs0hku4tR5cy54PnRz,https://api.spotify.com/v1/audio-analysis/3sXWFs0hku4tR5cy54PnRz,242317,5
0.398,0.286,7,-11.881,1,0.033,0.616,0.000146,0.0912,0.0666,78.262,audio_features,2KnLkZ3z7PO3kgVGHGqDpD,spotify:track:2KnLkZ3z7PO3kgVGHGqDpD,https://api.spotify.com/v1/tracks/2KnLkZ3z7PO3kgVGHGqDpD,https://api.spotify.com/v1/audio-analysis/2KnLkZ3z7PO3kgVGHGqDpD,222800,4
0.515,0.387,7,-10.614,1,0.192,0.757,0.0,0.622,0.408,86.313,audio_features,2qLyo5FeWquE7HBUbcVnEy,spotify:track:2qLyo5FeWquE7HBUbcVnEy,https://api.spotify.com/v1/tracks/2qLyo5FeWquE7HBUbcVnEy,https://api.spotify.com/v1/audio-analysis/2qLyo5FeWquE7HBUbcVnEy,104408,3
0.422,0.25,0,-6.836,1,0.0351,0.441,0.0,0.35,0.246,124.026,audio_features,2xXNLutYAOELYVObYb1C1S,spotify:track:2xXNLutYAOELYVObYb1C1S,https://api.spotify.com/v1/tracks/2xXNLutYAOELYVObYb1C1S,https://api.spotify.com/v1/audio-analysis/2xXNLutYAOELYVObYb1C1S,161613,4
0.62,0.468,0,-7.492,1,0.04,0.619,0.0,0.322,0.646,149.855,audio_features,1Ip5p31SowqjJLo2ss1afJ,spotify:track:1Ip5p31SowqjJLo2ss1afJ,https://api.spotify.com/v1/tracks/1Ip5p31SowqjJLo2ss1afJ,https://api.spotify.com/v1/audio-analysis/1Ip5p31SowqjJLo2ss1afJ,170212,4
